🤖 Starting AI analysis for https://nobina.se
✅ Created AI analysis cmghbpebk0004r2l9bv24ipsh for https://nobina.se
🤖 Added AI Analysis job 56 for https://nobina.se
🚀 Queued AI analysis job 56 for https://nobina.se
📡 [SSE] Client connecting for AI job: cmghbpebk0004r2l9bv24ipsh
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
📈 [SSE] AI Progress: crawling_user - 10%
